,lat,lng,district_name,group,metric,gp_ratio,ch_ratio,gp_num,ch_num
3023,50.6052207638483,-1.96738707712414,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
3471,50.6029712134604,-1.96743460255362,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
5035,50.609719864624,-1.9637472575087,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
5539,50.6052207638483,-1.96384266552639,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
6213,50.6074703142362,-1.96379496456738,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
7610,50.5984721126846,-1.9675296351863,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
9778,50.6074703142362,-1.96733954561791,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
12665,50.6007216630725,-1.96748212190734,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
15047,50.6029712134604,-1.96389036038699,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
16899,50.6074703142362,-1.96025038351684,Dorset,80,0.0,0.008108081152440086,0.0,17885,0.0
18045,50.8504217561272,-2.82085562521218,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18073,50.8076802987575,-2.84946241925165,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18077,50.8031811979817,-2.84591380969003,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18109,50.7919334460423,-2.8174732451771,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18116,50.8009316475938,-2.87795249754152,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18126,50.8076802987575,-2.79962592545584,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18134,50.7671883917756,-2.88156950482118,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18135,50.834674903412,-2.89570108192401,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18142,50.8301758026363,-2.78174056180536,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18158,50.760439740612,-2.86380027154149,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18159,50.778436143715,-2.85664759798474,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18168,50.8391740041878,-2.85294891242599,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18189,50.8481722057393,-2.8244252503088,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18213,50.8279262522484,-2.78174922839553,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18236,50.8436731049636,-2.90281336478573,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18250,50.8144289499211,-2.93489255122646,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18256,50.8256767018605,-2.77819677236004,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18267,50.8099298491454,-2.88505622934316,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18276,50.8009316475938,-2.79964931794511,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18563,50.8076802987575,-2.8209844227969,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18570,50.778436143715,-2.90289539866262,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18577,50.7806856941029,-2.93846951759598,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18584,50.7716874925514,-2.86377675900347,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18594,50.8211776010848,-2.8387476757656,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18616,50.8436731049636,-2.81018849792699,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18642,50.7829352444908,-2.91356334719235,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18665,50.8324253530242,-2.863649530387,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18682,50.8301758026363,-2.89570743292575,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18689,50.8099298491454,-2.91353559713816,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
18696,50.7806856941029,-2.87443102089867,Dorset,61,0.0,0.018050397493181686,0.0,39816,0.0
