,lat,lng,district_name,group,metric,gp_ratio,ch_ratio,gp_num,ch_num
274,50.6209676165634,-2.49180276582465,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
283,50.6277162677271,-2.48818923229668,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
629,50.6344649188907,-2.49166788709297,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
630,50.6367144692786,-2.50583254087786,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
978,50.6322153685028,-2.49878326699482,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
1535,50.6232171669513,-2.49532606105048,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
1745,50.647962221218,-2.50927107934459,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
2433,50.6367144692786,-2.50228575496802,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
2590,50.6322153685028,-2.49169037407072,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
2591,50.6277162677271,-2.49882755359995,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
2605,50.6389640196665,-2.49516986017303,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
2758,50.6434631204422,-2.50576709138715,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
3374,50.6254667173392,-2.49175781774808,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
3745,50.6367144692786,-2.49519218314834,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
4026,50.6209676165634,-2.49889396226944,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
4216,50.6344649188907,-2.49876111944315,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
4396,50.6299658181149,-2.50235168848432,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
4558,50.6344649188907,-2.50230773561824,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
5590,50.6277162677271,-2.49528144649886,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
5919,50.6389640196665,-2.50226377150565,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
6030,50.6322153685028,-2.48814392760867,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
6034,50.6344649188907,-2.49521450326806,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
6396,50.6344649188907,-2.48812127091788,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
6575,50.6254667173392,-2.4988496926544,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
6908,50.6299658181149,-2.49171285817216,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
7075,50.6434631204422,-2.49867250089835,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
7958,50.6389640196665,-2.50581072717195,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
7988,50.6254667173392,-2.49530375520124,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
8570,50.6412135700543,-2.50578891067526,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
9043,50.6277162677271,-2.49173533939777,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
9048,50.6389640196665,-2.49871681583934,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
9220,50.6209676165634,-2.49534836404705,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
9221,50.6367144692786,-2.4916453972385,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
9225,50.6209676165634,-2.48825716760225,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
9583,50.6232171669513,-2.49178029322354,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
9746,50.6232171669513,-2.48823452539661,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
9747,50.6412135700543,-2.49869465978628,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
10287,50.6299658181149,-2.49525913494288,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
10481,50.6412135700543,-2.50224178523077,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
10485,50.6434631204422,-2.50221979614275,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
10586,50.6457126708301,-2.50574526930728,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
10671,50.6322153685028,-2.50232971345687,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
10841,50.6367144692786,-2.49873896905818,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
10868,50.6232171669513,-2.49887182887741,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
11394,50.6457126708301,-2.50929273437331,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
11909,50.6322153685028,-2.49523682053277,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
12267,50.6299658181149,-2.4988054117136,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
12444,50.6254667173392,-2.48821188029491,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
14270,50.6299658181149,-2.48816658140145,Dorset,51,6.045331085303584,0.006517745749434225,0.039401930985160025,14377,1763.0
14441,50.9584001747454,-2.47054307004785,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
14498,50.9404037716424,-2.49572245623261,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15003,50.9606497251333,-2.47766220884194,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15017,50.9381542212545,-2.48146608052197,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15022,50.9494019731939,-2.459926358352,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
