,lat,lng,District
134,-1.944194,50.726398,"Bournemouth, Christchurch and Poole"
135,-1.1337696,52.583596,Oadby and Wigston District (B)
136,0.3394805,53.1262008,East Lindsey District
137,-0.0860362,51.6427364,Barnet London Boro
138,0.7865139,51.8795937,Colchester District (B)
139,-1.7139954,52.4082938,Solihull District (B)
140,-1.8577679,50.8164461,Dorset
141,-2.9710589,53.4626247,Sefton District (B)
142,0.241087,51.421926,Dartford District (B)
143,-0.3953986,53.73313,City of Kingston upon Hull (B)
144,-2.9884291,53.6582832,Sefton District (B)
145,-0.786657,53.408758,West Lindsey District
146,-0.071099,51.666744,Broxbourne District (B)
147,-3.0525344,53.8483195,Blackpool (B)
148,0.3031173,51.6003314,Brentwood District (B)
149,-3.0288976,53.8347005,Blackpool (B)
150,0.6859182,51.3486842,Swale District (B)
151,-4.0495199,50.3824133,City of Plymouth (B)
152,-0.6823356,52.4910038,North Northamptonshire
153,-0.4505447,53.7258824,East Riding of Yorkshire
154,-0.3777142,51.6005045,Harrow London Boro
155,-2.2743594,51.8346936,Gloucester District (B)
156,-1.2581949,50.8682908,Fareham District (B)
157,-2.016433,53.107858,Staffordshire Moorlands District
158,0.0625366,51.1978696,Sevenoaks District
159,-2.5357562,53.1808303,Cheshire West and Chester (B)
160,-0.1242261,53.5121009,North East Lincolnshire (B)
161,-2.4942995,51.8572497,County of Herefordshire
162,-1.7714978,53.665437,Kirklees District (B)
163,-1.200923,50.802725,Gosport District (B)
164,-1.9879523,52.6002939,Walsall District (B)
165,1.18908,51.9042791,Tendring District
166,-2.4613706,51.0454262,South Somerset District
167,-2.9801511,51.3404348,North Somerset
168,-1.5360843,54.544363,Darlington (B)
169,-1.5210546,52.4310319,Coventry District (B)
170,-2.1144409,53.6331158,Rochdale District (B)
171,-2.573034,51.9240601,County of Herefordshire
172,-0.1539093,51.5782689,Haringey London Boro
173,-0.7492987,51.6153109,Buckinghamshire
174,-1.1162117,51.6213229,South Oxfordshire District
175,-2.9686545,51.3528314,North Somerset
176,-3.1857315,53.3914673,Wirral District (B)
177,-3.8295813,50.4303598,South Hams District
178,-1.1548527,52.9721331,City of Nottingham (B)
179,-0.29856,51.5602586,Brent London Boro
180,-2.607937,51.481638,City of Bristol (B)
181,-2.0047063,52.5595497,Sandwell District (B)
182,-2.191375,53.6313101,Rochdale District (B)
183,-1.2250542,53.0185112,Broxtowe District (B)
184,-2.0142261,50.7197503,"Bournemouth, Christchurch and Poole"
185,-0.3044807,51.5209131,Ealing London Boro
186,-1.2294581,54.5799322,Middlesbrough (B)
187,-4.049894,51.0729145,North Devon District
188,-1.241893,53.1701423,North East Derbyshire District
189,-3.0355698,53.7848564,Blackpool (B)
190,-0.4362521,53.7405646,East Riding of Yorkshire
191,0.107145,51.5693841,Redbridge London Boro
192,-1.3529893,53.6083608,Wakefield District (B)
193,-5.537274,50.122348,Cornwall
194,-5.537274,50.122348,Cornwall
195,-1.3776338,53.5931834,Barnsley District (B)
196,1.3277739,52.6615411,Broadland District
197,1.5864106,52.7028184,Great Yarmouth District (B)
198,0.422459,52.768848,King's Lynn and West Norfolk District (B)
199,1.7107896,52.5810297,Great Yarmouth District (B)
200,1.0564868,51.2823502,Swale District (B)
201,-2.7679499,52.3891212,Shropshire
202,-0.7306812,52.4124585,North Northamptonshire
203,-0.2304784,51.2880999,Reigate and Banstead District (B)
204,-1.4670716,55.0761375,Northumberland
205,-2.012052,52.664208,South Staffordshire District
206,-0.8208653,52.4395204,North Northamptonshire
207,-0.3069377,51.5149058,Ealing London Boro
208,-0.733691,52.471129,North Northamptonshire
209,-0.8963064,52.2779507,West Northamptonshire
210,-0.9128424,52.2712711,West Northamptonshire
211,-1.160866,52.25204,West Northamptonshire
212,-0.9909613,52.1269349,West Northamptonshire
213,-0.9060943,52.3274902,West Northamptonshire
214,-0.7191257,52.4687696,North Northamptonshire
215,-0.6079779,52.2903415,North Northamptonshire
216,-0.828167,52.276098,West Northamptonshire
217,-0.2546602,51.4848018,Hounslow London Boro
218,1.1486564,51.8032131,Tendring District
219,0.0485869,51.4842709,Greenwich London Boro
220,-2.0233143,52.569974,Walsall District (B)
221,-0.1641525,50.8370726,The City of Brighton and Hove (B)
222,-0.3121018,53.4983156,West Lindsey District
223,-1.1297133,51.270279,Basingstoke and Deane District (B)
224,-1.1009339,51.2494787,Basingstoke and Deane District (B)
225,-1.1390141,51.247382,Basingstoke and Deane District (B)
226,-1.1281487,51.2726682,Basingstoke and Deane District (B)
227,-1.0869444,51.2584255,Basingstoke and Deane District (B)
228,-1.500185,51.001604,New Forest District
229,-1.1175124,51.2621578,Basingstoke and Deane District (B)
230,-0.8981396,51.5316413,South Oxfordshire District
231,-2.2224302,53.0769086,City of Stoke-on-Trent (B)
232,-1.0660884,54.5990588,Redcar and Cleveland (B)
233,-0.5855819,52.5630433,North Northamptonshire
234,-0.1351246,51.3259274,Croydon London Boro
235,-0.1638833,51.2365167,Reigate and Banstead District (B)
236,-0.3816427,51.8283881,St. Albans District (B)
237,-0.082253,51.648532,Barnet London Boro
238,0.041641,51.626946,Epping Forest District
239,-2.2377087,52.3913622,Wyre Forest District
240,0.0135492,51.4147162,Bromley London Boro
241,-1.9898749,53.8942994,Bradford District (B)
242,-1.0192549,50.9047681,Havant District (B)
243,-0.1859011,51.359872,Reigate and Banstead District (B)
244,-0.686787,51.415357,Windsor and Maidenhead (B)
245,-0.2630024,51.3553932,Epsom and Ewell District (B)
246,0.0025136,52.8168895,South Holland District
247,-1.2709837,50.9165499,Winchester District (B)
248,0.2793476,50.7778588,Eastbourne District (B)
249,1.3058354,51.1336802,Dover District
250,-0.3856381,50.815097,Worthing District (B)
251,-0.6788143,50.7886646,Arun District
252,-0.0080433,51.2546068,Tandridge District
253,-1.8267981,53.779903,Bradford District (B)
254,0.524463,50.8991964,Rother District
255,0.281253,53.3168265,East Lindsey District
256,-1.509893,51.412875,West Berkshire
257,-2.595253,53.37744,Warrington (B)
258,1.39384,51.22255,Dover District
259,-2.2311693,51.8714426,Gloucester District (B)
260,-0.3514427,51.5540175,Ealing London Boro
261,-0.3172389,51.5925331,Harrow London Boro
262,-1.5160616,55.1800143,Northumberland
263,-0.8176913,50.8359196,Chichester District
264,1.3514121,52.6281281,Broadland District
265,1.186915,51.084282,Folkestone and Hythe District
266,0.0195242,50.9273279,Lewes District
267,-0.04987,51.557614,Hackney London Boro
268,-1.0008453,50.7927815,Havant District (B)
269,-1.3198514,54.7630972,County Durham
270,-1.9017672,53.7328275,Calderdale District (B)
271,-0.1535284,51.6486627,Barnet London Boro
272,-3.0078506,53.6489068,Sefton District (B)
273,-2.1587809,53.3960057,Stockport District (B)
274,0.2102517,51.4461541,Dartford District (B)
275,-1.5019829,54.9776344,South Tyneside District (B)
276,-1.225502,52.978502,City of Nottingham (B)
277,-1.2102771,53.3739601,Rotherham District (B)
278,-1.6438218,54.9732975,Newcastle upon Tyne District (B)
279,-1.1296892,51.5883429,South Oxfordshire District
280,-2.0713633,51.9537395,Tewkesbury District (B)
281,-2.9883189,53.8488778,Blackpool (B)
282,-2.6401842,53.6534796,South Ribble District (B)
283,-0.5672195,52.3311494,North Northamptonshire
284,0.0031195,51.5881302,Waltham Forest London Boro
285,0.0736139,51.4812221,Greenwich London Boro
286,1.4413031,51.3564337,Thanet District
287,-1.2289105,52.631352,Blaby District
288,-1.0212295,52.0915592,West Northamptonshire
289,0.022524,51.573877,Redbridge London Boro
290,-2.264714,54.899878,Northumberland
291,-4.5465736,50.8355378,Cornwall
292,-0.0588564,51.2162692,Tandridge District
293,-0.6716549,50.7909845,Arun District
294,0.1463181,51.053044,Wealden District
295,-0.1385098,51.5524781,Camden London Boro
296,-1.6584651,53.6948742,Kirklees District (B)
297,0.002073,51.6184979,Waltham Forest London Boro
298,-0.4900854,51.4080788,Spelthorne District (B)
299,-1.8392195,54.8912813,County Durham
300,-0.3077499,51.3656612,Elmbridge District (B)
301,-0.173402,50.826803,The City of Brighton and Hove (B)
302,0.6411156,51.9374467,Braintree District
303,-0.7924155,51.514964,Windsor and Maidenhead (B)
304,-1.1200139,53.5278013,Doncaster District (B)
305,-0.5746402,51.4299365,Windsor and Maidenhead (B)
306,-1.8804723,50.7375857,"Bournemouth, Christchurch and Poole"
307,-1.7101402,51.6350523,Swindon (B)
308,-5.535058,50.119806,Cornwall
309,-3.069466,52.78026,Shropshire
310,-0.460153,52.141145,Bedford (B)
311,-1.173801,50.6352511,Isle of Wight
312,1.381257,51.205275,Dover District
313,-1.13503,51.525759,South Oxfordshire District
314,-5.2884548,50.2183039,Cornwall
315,-0.473419,51.539097,Buckinghamshire
316,-1.1348881,53.0017357,Gedling District (B)
317,-0.6595752,51.3957805,Windsor and Maidenhead (B)
318,0.2925709,51.6175024,Brentwood District (B)
319,-0.7590032,51.5803998,Buckinghamshire
320,-0.252992,51.41553,Merton London Boro
321,-0.7374027,51.1120187,Waverley District (B)
322,-0.2282955,51.3145628,Reigate and Banstead District (B)
323,-0.2667532,51.5339672,Brent London Boro
324,-0.3615414,53.7367529,City of Kingston upon Hull (B)
325,0.8691299,51.9736684,Babergh District
326,-1.5656948,54.6323013,County Durham
327,-1.2125868,50.817975,Fareham District (B)
328,-2.1580823,52.8125656,South Staffordshire District
329,-1.7419136,54.9071634,County Durham
330,-2.0013873,52.5682559,Walsall District (B)
331,-0.1030474,51.3648186,Croydon London Boro
332,-0.172318,51.575563,Barnet London Boro
333,-1.8370284,53.7675678,Bradford District (B)
334,1.4425767,52.4500907,East Suffolk District
335,1.4463961,52.4663757,East Suffolk District
336,-0.209342,51.3606283,Epsom and Ewell District (B)
337,1.696649,52.477241,East Suffolk District
338,-5.1531644,50.3456924,Cornwall
339,-1.1504608,52.5536413,Blaby District
340,-0.1653919,51.4406572,Wandsworth London Boro
341,-1.4877864,54.9706205,South Tyneside District (B)
342,-1.746084,54.65271,County Durham
343,-0.144241,51.597369,Haringey London Boro
344,-0.3691948,51.6138117,Harrow London Boro
345,-0.3108604,51.5206814,Ealing London Boro
346,-3.0667301,50.7260292,East Devon District
347,-5.2865309,50.220198,Cornwall
348,-2.9486097,50.8891452,South Somerset District
349,0.0314189,51.4074384,Bromley London Boro
350,1.1742384,51.0856027,Folkestone and Hythe District
351,1.1741383,51.0856018,Folkestone and Hythe District
352,1.1441422,51.0886888,Folkestone and Hythe District
353,1.1441224,51.0886084,Folkestone and Hythe District
354,0.7048236,52.2367099,Babergh District
355,-1.3109181,52.9745691,Erewash District (B)
356,-0.87495,51.028282,Chichester District
357,-0.363805,53.756937,City of Kingston upon Hull (B)
358,-2.4687653,53.5843087,Bolton District (B)
359,0.8819056,52.330486,Babergh District
360,-1.5378885,54.6828569,County Durham
361,-1.025889,50.868319,Havant District (B)
362,0.4899762,52.938076,King's Lynn and West Norfolk District (B)
363,-1.216656,51.7575108,Oxford District (B)
364,-2.2344334,51.842773,Gloucester District (B)
365,-0.6800847,53.6033617,North Lincolnshire (B)
366,0.2063249,51.9880264,East Hertfordshire District
367,-2.1431815,52.4538847,Dudley District (B)
368,-1.9127189,52.5083115,Birmingham District (B)
369,-2.8417678,53.3407148,Liverpool District (B)
370,-2.9632442,53.4292886,Liverpool District (B)
371,-1.2173537,54.6770145,Hartlepool (B)
372,-4.1228126,50.37813,City of Plymouth (B)
373,-2.5972972,53.7448511,South Ribble District (B)
374,-3.517911,50.4772948,Torbay (B)
375,0.2818236,51.4482179,Dartford District (B)
376,-1.156771,50.657683,Isle of Wight
377,-0.222376,51.76057,St. Albans District (B)
378,-0.79764,50.728355,Chichester District
379,-1.1615446,52.5875627,Blaby District
380,-0.1192687,52.4508627,Huntingdonshire District
381,-0.3420968,51.7540587,St. Albans District (B)
382,-2.457061,51.6913012,South Gloucestershire
383,-2.0271634,52.5227511,Sandwell District (B)
384,-1.6138666,52.6221826,North Warwickshire District (B)
385,-1.6145991,52.5993059,North Warwickshire District (B)
386,-1.6155781,52.6224039,North Warwickshire District (B)
387,-1.614599,52.599261,North Warwickshire District (B)
388,-1.614599,52.599261,North Warwickshire District (B)
389,-1.5461101,52.5833941,North Warwickshire District (B)
390,-1.621252,52.6188173,North Warwickshire District (B)
391,-1.6068811,52.6022023,North Warwickshire District (B)
392,-1.6146964,52.610094,North Warwickshire District (B)
393,-5.4157693,50.1827659,Cornwall
394,-2.6497913,50.9299043,South Somerset District
395,-0.862709,51.4851031,Wokingham (B)
396,-0.2039316,51.3920048,Merton London Boro
397,-1.7655576,53.8059001,Bradford District (B)
398,-2.4838434,51.5329638,South Gloucestershire
399,0.0482095,52.278517,South Cambridgeshire District
400,-0.8815243,51.5054528,South Oxfordshire District
401,-3.0466814,53.8787422,Blackpool (B)
402,-1.751057,54.729188,County Durham
403,-0.266042,52.2270127,Huntingdonshire District
404,0.0852899,52.5420226,Fenland District
405,-4.8011061,50.3373167,Cornwall
406,-2.6545705,51.2023492,Mendip District
407,-2.4928004,53.0708654,Cheshire East (B)
408,-2.9688224,50.716749,East Devon District
409,-0.9799327,50.7844728,Havant District (B)
410,-1.4974254,53.363483,Sheffield District (B)
411,-1.5950813,51.8600953,West Oxfordshire District
412,-1.3444708,52.0542039,West Northamptonshire
413,-0.5100878,50.8171365,Arun District
414,-3.180401,53.375235,Wirral District (B)
415,-3.2095589,54.132945,Barrow-in-Furness District (B)
416,-0.3052379,51.5859112,Brent London Boro
417,-1.5141846,50.9442532,New Forest District
418,-1.335007,54.8420897,County Durham
419,-0.2688358,51.5923039,Brent London Boro
420,-0.7314743,51.7726988,Buckinghamshire
421,-0.3788744,50.8122593,Worthing District (B)
422,-0.8921035,51.5088801,South Oxfordshire District
423,0.3451847,51.2976421,Tonbridge and Malling District (B)
424,-0.0196593,51.572555,Waltham Forest London Boro
425,-0.1155241,51.3348852,Croydon London Boro
426,-0.4909085,51.3931172,Spelthorne District (B)
427,-1.222586,52.762627,Charnwood District (B)
428,-1.5224378,54.7686925,County Durham
429,0.18847,51.581007,Havering London Boro
430,-2.9694021,50.7629479,East Devon District
431,-0.813505,51.106943,Waverley District (B)
432,-0.813505,51.106943,Waverley District (B)
433,-0.9733854,54.5848724,Redcar and Cleveland (B)
434,-1.312199,52.575039,Hinckley and Bosworth District (B)
435,-3.5586635,50.4295031,Torbay (B)
436,-3.0911789,51.0130229,Somerset West and Taunton District
